time,mon,fgov,repress,restraint,restraint5,vio,nonvio,nonvio2,milprimes,prime_frat,prime_future,prime_RU,prime_UN,post_exp,mil_frat,mil_future,mil_RU,mil_UN,oppose92coup,oppose92coup2,civwar,islamist,supp_sharia,active,conscript,soldier,junoff,senoff,rank4,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6,branch_7,branch,branch2,foreign_training,train_west,train_russia,train_china,age,young,sex,edu,BA,income,urban,urban_area,employed,student,arabic,dem,supp_opp_parties,continue,protested,preboutef,econ,econ1,corr,corr1,prot,slogans_1,slogans_2,slogans_3,slogans_4,actions_5,system,actions_3,actions_6,other_7,rep_mech_2,rep_mech_3
18.96666667,1,20,1,1,5,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0.75,1,0,0,0.5,1,0,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,6,0,0,7,1,6,3,1,1,0,1,0.75,0,0,1,1,2,0.25,5,1,4,NA,NA,NA,NA,NA,2,NA,NA,NA,5,1
23.51666667,1,2,1,1,5,1,1,1,mil_UN,0,0,0,1,0,NA,NA,NA,1,0.5,0,0,0,0.5,1,0,0,1,0,Jun. Officer,1,0,0,0,0,0,0,Army,Land,0,0,0,0,5,0,0,5,1,2,2,0,1,0,1,0.75,0,0,0,1,1,0,2,0.25,5,NA,NA,NA,NA,NA,4,NA,NA,NA,5,3
29.08333333,1,3,1,1,5,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.5,0,0,0,0.5,0,0,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,5,0,0,4,0,2,3,1,0,0,1,1,0,0,1,1,1,0,5,1,3,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5
30.45,1,27,3,0,3,1,1,1,mil_UN,0,0,0,1,0,NA,NA,NA,0,0.75,1,0,0,0.5,0,0,1,0,0,Soldier,0,0,0,0,0,0,1,Army,Land,0,0,0,0,6,0,0,3,0,2,1,0,0,0,1,0.5,0,0,1,1,1,0,4,0.75,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
24.18333333,1,17,1,1,5,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0.25,0,1,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,1,0,0,0,7,0,0,3,0,2,3,1,0,0,1,1,0.5,0,1,1,1,0,4,0.75,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
23.73333333,1,6,3,0,3,1,1,1,mil_RU,0,0,1,0,0,NA,NA,0,NA,0.5,0,0,0,0.5,1,0,0,1,0,Jun. Officer,1,0,0,0,0,0,0,Army,Land,1,0,0,0,6,0,0,5,1,3,3,1,1,0,0,0.5,0.5,0,1,1,1,0,1,0,5,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5
42.81666667,1,29,1,1,5,1,1,1,mil_future,0,1,0,0,0,NA,0,NA,NA,0,0,0,0,0.25,1,0,0,1,0,Jun. Officer,1,0,0,0,0,0,0,Army,Land,1,0,0,0,6,0,0,5,1,2,3,1,1,0,1,0.75,0,0,0,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
27.46666667,1,34,1,1,5,1,1,1,mil_UN,0,0,0,1,0,NA,NA,NA,1,1,1,0,0,1,1,0,0,1,0,Jun. Officer,0,0,0,0,0,0,1,Army,Land,0,0,0,0,6,0,0,7,1,4,3,1,1,0,1,0.75,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
20.93333333,1,13,3,0,3,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.5,0,0,0,0.5,1,0,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,6,0,0,4,0,3,3,1,1,0,1,0.5,0,0,0,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,3
25.13333333,1,7,1,1,5,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0.25,0,0,0,0.25,0,1,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,9,0,0,4,0,2,3,1,0,0,1,1,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
27.36666667,1,14,3,0,3,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0.5,0,0,0,1,1,0,0,1,0,Jun. Officer,1,0,0,0,0,0,0,Army,Land,1,0,0,0,6,0,0,7,1,2,3,1,1,0,1,0,0,0,0,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,3,3
48.88333333,1,41,2,1,4,1,1,1,mil_future,0,1,0,0,0,NA,1,NA,NA,0.5,0,0,0,0.75,0,1,1,0,0,Soldier,1,0,0,0,0,0,0,Army,Land,1,0,0,0,8,0,0,7,1,1,1,0,0,0,1,0.75,NA,0,1,1,2,0.25,4,0.75,5,NA,NA,NA,NA,NA,4,NA,NA,NA,4,5
17.01666667,1,1,4,0,2,2,0.666666667,0,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.25,0,0,0,0.25,0,1,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,6,0,0,5,1,4,3,1,1,0,0,0.75,0,0,1,1,2,0.25,4,0.75,4,NA,NA,NA,NA,NA,4,NA,NA,NA,3,4
39.65,1,7,1,1,5,1,1,1,mil_RU,0,0,1,0,0,NA,NA,0,NA,0.5,0,0,0,0.5,0,0,0,1,0,Jun. Officer,0,0,0,1,0,0,0,Air,AirNavy,1,0,0,0,5,0,0,7,1,3,3,1,1,0,1,0.75,0.5,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5
31.05,1,13,1,1,5,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0.5,0,0,0,0.5,0,0,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,7,0,0,3,0,1,3,1,0,0,1,0.75,0,0,0,1,2,0.25,5,1,4,NA,NA,NA,NA,NA,4,NA,NA,NA,4,4
20.8,1,16,2,1,4,1,1,1,mil_UN,0,0,0,1,0,NA,NA,NA,0,0.75,1,0,0,0.75,0,0,0,0,0,NCO,0,0,0,1,0,0,0,Air,AirNavy,1,0,1,0,6,0,0,5,1,3,2,0,0,0,1,1,0.5,0,0,1,2,0.25,4,0.75,4,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5
15.66666667,1,12,1,1,5,1,1,1,mil_UN,0,0,0,1,0,NA,NA,NA,0,1,1,0,0,0.75,1,0,0,0,1,Sen. Officer,0,0,0,0,0,0,0,NA,NA,1,0,1,0,6,0,0,7,1,7,3,1,1,0,1,0,0.25,0,1,1,1,0,1,0,5,NA,NA,NA,NA,NA,3,NA,NA,NA,5,4
49.81666667,1,19,1,1,5,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,1,1,0,0,0.75,0,0,0,1,0,Jun. Officer,1,0,0,0,0,0,0,Army,Land,0,0,0,0,4,0,0,5,1,2,3,1,1,0,1,0.75,1,0,1,1,1,0,2,0.25,5,NA,NA,NA,NA,NA,3,NA,NA,NA,5,5
22.33333333,1,43,1,1,5,1,1,1,mil_UN,0,0,0,1,0,NA,NA,NA,1,0.5,0,0,0,0.5,1,0,0,1,0,Jun. Officer,1,0,0,0,0,0,0,Army,Land,1,0,1,0,3,1,0,7,1,1,1,0,0,1,1,0,0,0,0,1,1,0,5,1,3,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5
25,1,34,3,0,3,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0.75,1,1,0,0.75,0,0,0,1,0,Jun. Officer,1,0,0,0,0,0,0,Army,Land,1,0,1,0,7,0,0,5,1,2,3,1,1,0,1,0.75,0,0,0,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
11.21666667,1,16,1,1,5,1,1,1,mil_RU,0,0,1,0,0,NA,NA,1,NA,0.5,0,0,0,0.75,1,0,0,1,0,Jun. Officer,1,0,0,0,0,0,0,Army,Land,1,1,0,0,6,0,0,7,1,5,3,1,1,0,1,0.25,0,0,0,1,1,0,3,0.5,4,NA,NA,NA,NA,NA,3,NA,NA,NA,5,5
43.21666667,1,28,1,1,5,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,1,1,0,0,0.75,1,0,0,0,1,Sen. Officer,0,0,0,0,1,0,0,Gend,Land,1,0,1,0,6,0,0,5,1,NA,3,1,1,0,1,0.75,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
31.91666667,1,38,1,1,5,1,1,1,mil_UN,0,0,0,1,0,NA,NA,NA,1,0.5,0,0,0,0,1,1,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,3,1,0,5,1,2,3,1,1,0,1,0.5,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
24.33333333,1,48,3,0,3,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.5,0,0,0,0.75,1,0,0,0,0,NCO,0,0,0,0,0,0,1,Army,Land,0,0,0,0,5,0,0,5,1,3,3,1,1,0,1,0.5,0,0,1,1,2,0.25,5,1,4,NA,NA,NA,NA,NA,4,NA,NA,NA,5,3
20.41666667,1,35,3,0,3,1,1,1,mil_future,0,1,0,0,0,NA,0,NA,NA,0.5,0,0,0,1,1,1,1,0,0,Soldier,0,0,0,0,0,0,0,NA,NA,0,0,0,0,5,0,0,3,0,9,1,0,1,0,1,0.5,0.5,0,0,1,3,0.5,5,1,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,3
21.23333333,1,5,3,0,3,1,1,1,mil_UN,0,0,0,1,0,NA,NA,NA,1,0.5,0,0,0,0.5,0,1,1,0,0,Soldier,1,0,0,0,0,0,0,Army,Land,1,0,0,0,4,0,0,3,0,2,3,1,1,0,0,0.5,0.5,0,1,1,3,0.5,3,0.5,3,NA,NA,NA,NA,NA,3,NA,NA,NA,5,1
29.68333333,1,44,1,1,5,1,1,1,mil_UN,0,0,0,1,0,NA,NA,NA,1,0.5,0,0,0,0.25,0,0,1,0,0,Soldier,1,0,0,0,0,0,0,Army,Land,1,0,0,0,4,0,0,4,0,1,3,1,0,0,1,0.75,0.5,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
23.3,1,47,1,1,5,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.5,0,0,0,1,1,0,0,0,1,Sen. Officer,1,0,0,0,0,0,0,Army,Land,0,0,0,0,6,0,0,6,1,3,3,1,1,0,1,0.5,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,3
25.68333333,1,31,2,1,4,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.5,0,0,0,0.75,0,0,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,3,1,0,5,1,2,3,1,0,1,1,0.75,0.75,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5
60.08333333,1,28,3,0,3,1,1,1,mil_RU,0,0,1,0,0,NA,NA,1,NA,0.5,0,0,0,0.5,0,0,1,0,0,Soldier,1,0,0,0,0,0,0,Army,Land,0,0,0,0,5,0,0,3,0,1,3,1,0,0,1,0.75,0,0,0,1,2,0.25,4,0.75,3,NA,NA,NA,NA,NA,1,NA,NA,NA,4,4
23.45,1,22,1,1,5,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0.5,0,1,0,0.5,0,0,0,0,0,NCO,0,0,0,0,0,1,0,Gend,Land,0,0,0,0,8,0,0,5,1,2,3,1,0,0,1,1,0.25,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
53.01666667,1,31,1,1,5,1,1,1,mil_future,0,1,0,0,0,NA,0,NA,NA,0.5,0,0,0,0.5,1,0,1,0,0,Soldier,0,0,0,0,1,0,0,Gend,Land,0,0,0,0,4,0,0,4,0,3,3,1,1,0,1,0.75,0.5,0,0,1,1,0,5,1,4,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
24.11666667,1,9,2,1,4,1,1,1,mil_future,0,1,0,0,0,NA,0,NA,NA,0.5,0,0,0,0.5,0,1,1,0,0,Soldier,1,0,0,0,0,0,0,Army,Land,0,0,0,0,4,0,0,4,0,5,3,1,1,0,1,0.75,0,0,1,1,3,0.5,5,1,2,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5
